Rank,Ticker,Probability,Close,Risk_Score,Conviction,Daily_Return_Pct,Return_5d,Return_20d,RSI_14,Vol_Ratio,Momentum_Pass,Setup_Count,Active_Setups,Sector
71,CCL,0.690598,31.770000457763672,0.1555289199556965,0.25429120661679017,-2.09552096896376,-6.099279569236593,8.413234844346395,62.45616155307558,0.8654293349355766,True,0,none,Consumer Cyclical
94,DAL,0.6371134,69.0,0.1541926812438302,0.21111928978136607,-0.7194244604316502,-8.427337229876652,-3.280062318489063,53.57142857142858,0.8877928038231683,True,0,none,Industrials
143,LYV,0.534429,158.27000427246094,0.15367162364851053,0.20911151751514367,2.195395662472066,12.375751482379904,8.604960483473167,65.52950815219852,0.9086014099850988,True,0,none,Communication Services
131,BDX,0.5499609,175.88999938964844,0.1506289385950027,0.17295744383657147,-1.0798032705177985,6.52894053621349,7.38281061139523,71.10338555477807,0.9311659357246801,True,0,none,Healthcare
132,DHI,0.54990536,167.77999877929688,0.14979252449304095,0.18992429003119468,1.9381508672358327,7.365453504927255,4.508422259408218,77.23125095568149,0.7488249435916089,True,0,none,Consumer Cyclical
122,CMI,0.56652856,601.010009765625,0.14063016812431714,0.2628274559808198,2.0754483252623857,4.029569190435023,4.552567964571486,57.118617077695625,0.8453127129036654,True,0,none,Industrials
144,APTV,0.5326555,85.19999694824219,0.13124665396719756,0.19649482340443938,2.6505987328219183,3.4231607050790647,3.135209198347444,68.88886769613978,1.0026789755467027,True,0,none,Consumer Cyclical
134,SWK,0.54853064,91.05999755859375,0.12974755059151363,0.16389555501500097,1.5501275990098318,1.8682158858351006,7.890990417426402,73.47868644428453,0.8999325527244648,True,0,none,Industrials
96,ODFL,0.63071096,193.2100067138672,0.12949247901795985,0.23190364379215261,4.150726340918265,-4.573514323606909,8.417035763925362,63.799538467740945,0.7549479551092565,True,0,none,Industrials
63,LUV,0.6993152,51.11000061035156,0.12628268125691022,0.26343011785933845,0.550853372438409,-5.8053774578381345,18.58469238935121,70.80661121192732,0.8028285952755975,True,0,none,Industrials
153,HCA,0.5226433,540.2899780273438,0.11581441863984411,0.17986280586269088,0.9472754384628468,7.6939893954625305,11.676310801923506,71.47555678055707,0.8528114183425345,True,0,none,Healthcare
129,TPR,0.55419725,153.8000030517578,0.11296504261365356,0.19335780069231986,0.746757082602767,1.1176836818042046,15.58695766849918,81.54409357006419,1.0701114403469056,True,0,none,Consumer Cyclical
66,RCL,0.6975292,319.6099853515625,0.10758065287174051,0.24229383338493,-3.9633422251240003,-8.158050186332611,14.922153890857004,58.71885720192823,0.9135522982921955,True,0,none,Consumer Cyclical
152,MOS,0.5234338,29.649999618530273,0.10751241426728281,0.16696622380361673,-0.4030931722814435,3.6713259547396904,7.5054376379637855,57.534246277076846,0.6331567482857003,True,0,none,Basic Materials
79,DVA,0.66564566,148.9499969482422,0.1031699798928887,0.2525165331363678,-0.6801388705464206,5.765813400278574,40.73129450300086,79.41509716591429,0.7496777245185854,True,0,none,Healthcare
137,FTV,0.545401,56.900001525878906,0.1008710252209269,0.19037851076603507,1.6071455819266278,-5.355950537614074,2.504059171996942,55.78268172955342,1.1184128440637369,True,0,none,Technology
159,IR,0.5023229,98.5199966430664,0.09617673356888344,0.17365568303740408,4.574883346224445,0.020301160473512603,12.826382257655977,68.46079401367862,1.2498678530920584,True,0,none,Industrials
157,SWKS,0.5091631,62.099998474121094,0.09233800823248775,0.16185956313374095,2.25588496988538,0.0,6.226478697662596,55.64127073872848,0.647010647010647,True,0,none,Technology
128,ALGN,0.55496323,186.77000427246094,0.08876814519454213,0.1709995188507622,1.582727973702358,-0.4424316652722804,8.922845362358633,63.89131980558677,0.9515509457533673,True,0,none,Healthcare
120,DECK,0.57225364,115.7300033569336,0.06584387794730531,0.17234863753716456,-0.2499511243953645,0.2425347908990627,12.282918113509144,67.63628341078666,0.5684742915407108,True,0,none,Consumer Cyclical
156,CHTR,0.51098156,239.08999633789062,0.0646940258675638,0.12878524780273437,0.42422483999837723,3.4394726006900855,22.855966079871195,75.02210350525772,0.6460674157303371,True,0,none,Communication Services
