max_positions,picks_per_day,sizing,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,avg_win,avg_loss,avg_trade,profit_factor,n_trades,final_value,trades_per_month,avg_positions,max_positions_used,pct_fully_invested,score
6,1,Equal,398.74738600586534,49.482261024168125,1.3052800808072949,2.127062397605452,1.636208473770596,-30.24202711170274,51.50166852057843,8.54836831624359,-6.431514029357457,1.2833753210466408,1.4114467771095625,899,498747.38600586535,18.743534246575344,5.516932270916334,6,67.43027888446214,0.6481617647058823
6,1,Prob,398.74738600586534,49.482261024168125,1.3052800808072949,2.127062397605452,1.636208473770596,-30.24202711170274,51.50166852057843,8.54836831624359,-6.431514029357457,1.2833753210466408,1.4114467771095625,899,498747.38600586535,18.743534246575344,5.516932270916334,6,67.43027888446214,0.6481617647058823
6,1,Kelly,243.07333257151257,36.12516405212527,1.284812443275998,2.082104989574624,1.5515796636521944,-23.28282904088331,51.50166852057843,8.548314535419728,-6.431563909094817,1.2833234321846427,1.4114269508458313,899,343073.33257151255,18.743534246575344,5.516932270916334,6,67.43027888446214,0.4400735294117647
6,1,Tiered,398.74738600586534,49.482261024168125,1.3052800808072949,2.127062397605452,1.636208473770596,-30.24202711170274,51.50166852057843,8.54836831624359,-6.431514029357457,1.2833753210466408,1.4114467771095625,899,498747.38600586535,18.743534246575344,5.516932270916334,6,67.43027888446214,0.6481617647058823
6,2,Equal,262.47044618195486,38.01106792885154,1.064398187175771,1.6946023907674423,1.095014654092975,-34.7128394919399,51.515151515151516,7.885870209252926,-6.320751776988034,0.9978110644088233,1.3255918588411757,957,362470.4461819548,19.952794520547947,5.925298804780876,6,94.32270916334662,0.14522058823529413
6,2,Prob,265.39782569755624,38.28906927911832,1.0692825736865539,1.7017592267770933,1.1131764222316733,-34.39622733147472,51.515151515151516,7.885878373525635,-6.320739969337931,0.9978209951675419,1.3255957075463465,957,365397.82569755625,19.952794520547947,5.925298804780876,6,94.32270916334662,0.1584558823529412
6,2,Kelly,168.3265390672473,28.008647379592876,1.0377641941606375,1.6475629863317438,1.0503064278761887,-26.66711983875868,51.515151515151516,7.885813403755174,-6.320787709278711,0.9977643792538967,1.3255747743576718,957,268326.5390672473,19.952794520547947,5.925298804780876,6,94.32270916334662,0.0724264705882353
6,2,Tiered,307.29649246001634,42.096082306435065,1.13821778481965,1.838450869613313,1.2409918112019303,-33.92132158040914,51.515151515151516,7.8858729704338595,-6.320744988014367,0.9978157784589615,1.3255937467773269,957,407296.49246001634,19.952794520547947,5.925298804780876,6,94.32270916334662,0.2496323529411765
6,3,Equal,323.18646555694164,43.46310470355967,1.1524439288360195,1.8057188275491995,1.2702282814061376,-34.21676665508202,51.909184726522184,8.152865749063563,-6.5562556284207965,1.079129359065924,1.3422594831755952,969,423186.46555694164,20.202986301369865,5.977091633466135,6,98.50597609561753,0.31875
6,3,Prob,322.4288107898652,43.3988050100075,1.1505384097869578,1.8028480809847,1.2762950849500292,-34.00373904261074,51.909184726522184,8.15287172322045,-6.556254899683239,1.0791328106578921,1.3422606159342856,969,422428.81078986527,20.202986301369865,5.977091633466135,6,98.50597609561753,0.31066176470588236
6,3,Kelly,196.18052612756088,31.210886897395817,1.1112416895297743,1.7317491461472234,1.1962066711235126,-26.091550608124958,51.909184726522184,8.15280433345745,-6.556309526711167,1.0790715585982384,1.3422383375229483,969,296180.5261275609,20.202986301369865,5.977091633466135,6,98.50597609561753,0.15036764705882352
6,3,Tiered,355.3119048534139,46.113376065511225,1.1966593825669571,1.8982046488084574,1.284617147376862,-35.896590793352665,51.909184726522184,8.152858363774953,-6.556263739058502,1.0791216249510216,1.342256606803425,969,455311.90485341393,20.202986301369865,5.977091633466135,6,98.50597609561753,0.36875
8,1,Equal,319.6613414059009,43.16320154107118,1.3684216763722625,2.2190816172084005,1.9018836881940515,-22.694974360949033,51.9,8.466961981835013,-6.38974135157008,1.320887678467164,1.4297714224358526,1000,419661.3414059009,20.84931506849315,6.161354581673307,7,0.0,0.7128676470588236
8,1,Prob,319.6613414059009,43.16320154107118,1.3684216763722625,2.2190816172084005,1.9018836881940515,-22.694974360949033,51.9,8.466961981835013,-6.38974135157008,1.320887678467164,1.4297714224358526,1000,419661.3414059009,20.84931506849315,6.161354581673307,7,0.0,0.7128676470588236
8,1,Kelly,306.73016427387483,42.04662806970323,1.3497887307523038,2.1810827413789355,1.8546888814533242,-22.670448122143117,51.9,8.466970170831866,-6.389754161000036,1.3208857672207215,1.4297699390278809,1000,406730.1642738748,20.84931506849315,6.161354581673307,7,0.0,0.6213235294117646
8,1,Tiered,319.6613414059009,43.16320154107118,1.3684216763722625,2.2190816172084005,1.9018836881940515,-22.694974360949033,51.9,8.466961981835013,-6.38974135157008,1.320887678467164,1.4297714224358526,1000,419661.3414059009,20.84931506849315,6.161354581673307,7,0.0,0.7128676470588236
8,2,Equal,340.9075571455636,44.94299103675705,1.248633163769951,2.016369127859242,1.5393965595558385,-29.195200390550717,52.34685759745425,7.9232684832286004,-6.344121968181698,1.1244085942908373,1.371929895301376,1257,440907.55714556365,26.207589041095893,7.816733067729084,8,87.54980079681275,0.5334558823529412
8,2,Prob,345.216820119686,45.29609678888833,1.253688580672243,2.0258990428314183,1.5340840448667181,-29.526476688455272,52.34685759745425,7.923280648369749,-6.344116361940694,1.12441763390996,1.3719332140845637,1257,445216.8201196861,26.207589041095893,7.816733067729084,8,87.54980079681275,0.5599264705882353
8,2,Kelly,335.5658554560909,44.50167587745495,1.249816933194514,2.003790306957909,1.443564343093367,-30.827635837896743,52.34685759745425,7.923280715491201,-6.3402578108874055,1.126256389874028,1.3727681561703415,1257,435565.8554560909,26.207589041095893,7.816733067729084,8,87.54980079681275,0.5158088235294117
8,2,Tiered,359.7608512294495,46.469245467918,1.2731784511801028,2.0594104234238917,1.509073672963227,-30.79322520859481,52.34685759745425,7.9232645559495225,-6.344127410001563,1.1244039452854808,1.3719280384815442,1257,459760.8512294495,26.207589041095893,7.816733067729084,8,87.54980079681275,0.6011029411764705
8,3,Equal,336.40568023531483,44.571327526912064,1.2312801922809213,1.9274777059812969,1.5113969617406051,-29.4901529215603,52.184087363494534,7.89279391291604,-6.312323820549343,1.1004872275694877,1.3646055600385165,1282,436405.68023531477,26.728821917808222,7.940239043824701,8,96.21513944223108,0.43566176470588236
8,3,Prob,334.67790988646345,44.42792367911865,1.2269979927618797,1.9171611899511107,1.4998766493287403,-29.621051637147673,52.184087363494534,7.892777697672438,-6.312321864321186,1.1004797011809466,1.3646031794420552,1282,434677.9098864634,26.728821917808222,7.940239043824701,8,96.21513944223108,0.40698529411764706
8,3,Kelly,330.8451794590463,44.10827717750729,1.2363835617149832,1.9334997405264804,1.5876823687157149,-27.78155004214522,52.184087363494534,7.8927746984821665,-6.3123401871332625,1.1004693748610603,1.3645986998758297,1282,430845.1794590463,26.728821917808222,7.940239043824701,8,96.21513944223108,0.44227941176470587
